"epoch","Group: SCVAE2D(64_SOFT)?dataset=CelebA&batch_size=128&count_sampling=EXACT&pixel_sampling=EXACT&max_epochs=100 - _step","Group: SCVAE2D(64_SOFT)?dataset=CelebA&batch_size=128&count_sampling=EXACT&pixel_sampling=EXACT&max_epochs=100 - _step__MIN","Group: SCVAE2D(64_SOFT)?dataset=CelebA&batch_size=128&count_sampling=EXACT&pixel_sampling=EXACT&max_epochs=100 - _step__MAX","Group: SCVAE2D(64_SOFT)?dataset=CelebA&batch_size=128&count_sampling=EXACT&pixel_sampling=EXACT&max_epochs=100 - val_recon_loss_0","Group: SCVAE2D(64_SOFT)?dataset=CelebA&batch_size=128&count_sampling=EXACT&pixel_sampling=EXACT&max_epochs=100 - val_recon_loss_0__MIN","Group: SCVAE2D(64_SOFT)?dataset=CelebA&batch_size=128&count_sampling=EXACT&pixel_sampling=EXACT&max_epochs=100 - val_recon_loss_0__MAX","Group: VAE(64)?dataset=CelebA&batch_size=128&max_epochs=100 - _step","Group: VAE(64)?dataset=CelebA&batch_size=128&max_epochs=100 - _step__MIN","Group: VAE(64)?dataset=CelebA&batch_size=128&max_epochs=100 - _step__MAX","Group: VAE(64)?dataset=CelebA&batch_size=128&max_epochs=100 - val_recon_loss_0","Group: VAE(64)?dataset=CelebA&batch_size=128&max_epochs=100 - val_recon_loss_0__MIN","Group: VAE(64)?dataset=CelebA&batch_size=128&max_epochs=100 - val_recon_loss_0__MAX"
"0","20","20","20","21533.873046875","20772.8046875","22754.17578125","20","20","20","22040.623046875","20867.75","22741.427734375"
"1","41","41","41","18350.643229166668","17794.8359375","19386.603515625","41","41","41","19722.790234375","19357.013671875","20546.517578125"
"2","63","63","63","17111.542317708332","16673.130859375","17834.408203125","63","63","63","18965.06875","18655.775390625","19444.81640625"
"3","84","84","84","16549.440755208332","16394.36328125","16802.982421875","84","84","84","18379.13828125","17830.275390625","18700.03515625"
"4","105","105","105","16303.130533854166","15893.04296875","16784.818359375","105","105","105","17890.180859375","17673.0546875","18255.478515625"
"5","127","127","127","16066.241861979166","15881.0595703125","16356.599609375","127","127","127","17604.45625","17547.052734375","17738.322265625"
"6","148","148","148","15597.366536458334","15557.892578125","15627.439453125","148","148","148","17311.662890625","17158.4140625","17519.56640625"
"7","169","169","169","15291.067057291666","15115.16796875","15440.310546875","169","169","169","17054.521875","17008.796875","17104.796875"
"8","191","191","191","15064.904296875","14960.9873046875","15168.79296875","191","191","191","16885.9140625","16795.103515625","16971.599609375"
"9","212","212","212","14861.565104166666","14649.611328125","14967.9794921875","212","212","212","16533.917578125","16321.431640625","16636.69140625"
"10","233","233","233","14647.573567708334","14557.21484375","14757.3623046875","233","233","233","16621.719140625","16475.484375","16871.953125"
"11","255","255","255","14442.485677083334","14344.4091796875","14539.595703125","255","255","255","16387.96171875","16217.75390625","16491.96875"
"12","276","276","276","14385.156575520834","14180.712890625","14601.1435546875","276","276","276","16300.208203125","16179.8359375","16496.841796875"
"13","298","298","298","14367","14220.33203125","14533.73046875","298","298","298","16191.2490234375","16047.8955078125","16428.853515625"
"14","319","319","319","14259.216145833334","14108.6943359375","14494.166015625","319","319","319","16052.810546875","15875.005859375","16359.2705078125"
"15","340","340","340","14182.0009765625","13999.3583984375","14426.64453125","340","340","340","16008.1419921875","15950.5712890625","16084.8056640625"
"16","362","362","362","14091.674153645834","13899.3935546875","14297.1787109375","362","362","362","15950.8802734375","15915.357421875","15991.8623046875"
"17","383","383","383","14178.104166666666","14148.81640625","14207.8076171875","383","383","383","15946.0017578125","15807.216796875","16077.2265625"
"18","404","404","404","14103.6123046875","13987.2060546875","14258.8408203125","404","404","404","15853.0513671875","15808.8623046875","15900.224609375"
"19","426","426","426","14151.802408854166","14125.923828125","14186.3974609375","426","426","426","15897.1056640625","15764.1337890625","16018.9599609375"
"20","447","447","447","14027.154947916666","13999.2060546875","14046.4052734375","447","447","447","15891.367578125","15800.841796875","15957.25"
"21","468","468","468","14060.6953125","13953.6474609375","14239.712890625","468","468","468","15877.800390625","15810.3544921875","15959.8916015625"
"22","490","490","490","14032.7763671875","13836.0869140625","14231.3291015625","490","490","490","15819.712890625","15770.9501953125","15912.1923828125"
"23","511","511","511","14066.177734375","13968.6416015625","14189.046875","511","511","511","15745.403125","15667.5537109375","15856.767578125"
"24","533","533","533","14109.259440104166","13883.43359375","14334.60546875","533","533","533","15807.6302734375","15740.9599609375","15933.78125"
"25","554","554","554","14133.808268229166","14035.830078125","14264.2890625","554","554","554","15778.4193359375","15744.2001953125","15850.337890625"
"26","575","575","575","13985.5888671875","13892.0634765625","14158.3935546875","575","575","575","15768.8630859375","15705.6611328125","15845.91015625"
"27","597","597","597","13994.206380208334","13921.134765625","14050.9482421875","597","597","597","15739.865234375","15597.9443359375","15888.8857421875"
"28","618","618","618","14053.4609375","13957.794921875","14107.453125","618","618","618","15696.365234375","15583.8359375","15759.7666015625"
"29","639","639","639","13987.2880859375","13921.921875","14021.3037109375","639","639","639","15650.8837890625","15482.548828125","15784.7119140625"
"30","661","661","661","13976.86328125","13909.3837890625","14055.0498046875","661","661","661","15636.83671875","15504.9150390625","15759.23828125"
"31","682","682","682","13982.406575520834","13892.021484375","14134.822265625","682","682","682","15618.6673828125","15523.7314453125","15716.5205078125"
"32","703","703","703","13857.564127604166","13694.0322265625","13956.2705078125","703","703","703","15587.6943359375","15475.376953125","15690.5126953125"
"33","725","725","725","13954.017578125","13784.9130859375","14120.99609375","725","725","725","15602.2244140625","15408.53515625","15798.5556640625"
"34","746","746","746","13839.468424479166","13791.80078125","13891.216796875","746","746","746","15489.8728515625","15375.61328125","15624.4970703125"
"35","767","767","767","13883.994466145834","13790.521484375","14030.611328125","767","767","767","15530.5275390625","15466.927734375","15618.767578125"
"36","789","789","789","13929.182291666666","13805.546875","14065.7177734375","789","789","789","15533.6357421875","15494.3671875","15587.0146484375"
"37","810","810","810","13821.150390625","13787.63671875","13864.5009765625","810","810","810","15622.9216796875","15521.9775390625","15701.40625"
"38","832","832","832","13875.94140625","13859.0869140625","13892.7958984375","832","832","832","15516.9470703125","15475.53125","15605.962890625"
"39","853","853","853","13925.66357421875","13879.458984375","13971.8681640625","853","853","853","15470.7498046875","15423.39453125","15519.73046875"
"40","874","874","874","13998.86572265625","13882.6494140625","14115.08203125","874","874","874","15455.356640625","15405.921875","15476.9658203125"
"41","896","896","896","13979.56640625","13861.9169921875","14097.2158203125","896","896","896","15489.3576171875","15423.4931640625","15646.9384765625"
"42","917","917","917","13817.2109375","13743.8828125","13890.5390625","917","917","917","15512.2818359375","15382.8818359375","15708.3251953125"
"43","938","938","938","13716.107421875","13655.33984375","13776.875","938","938","938","15520.38046875","15447.01953125","15565.404296875"
"44","960","960","960","13901.22119140625","13787.83203125","14014.6103515625","960","960","960","15537.31953125","15452.0126953125","15769.021484375"
"45","981","981","981","13680.47265625","13476.748046875","13884.197265625","981","981","981","15479.7861328125","15376.908203125","15567.12890625"
"46","1002","1002","1002","13642.8779296875","13585.8330078125","13699.9228515625","1002","1002","1002","15416.9466796875","15345.4248046875","15464.171875"
"47","1024","1024","1024","13857.69482421875","13743.861328125","13971.5283203125","1024","1024","1024","15440.20078125","15311.1884765625","15552.177734375"
"48","1045","1045","1045","14070.87353515625","13917.798828125","14223.9482421875","1045","1045","1045","15442.48671875","15387.294921875","15569.0126953125"
"49","1067","1067","1067","13759.4072265625","13608.2216796875","13910.5927734375","1067","1067","1067","15383.3123046875","15305.20703125","15422.2685546875"
"50","1088","1088","1088","13792.6962890625","13744.4423828125","13840.9501953125","1088","1088","1088","15399.26875","15316.103515625","15454.71875"
"51","1109","1109","1109","13914.80908203125","13858.958984375","13970.6591796875","1109","1109","1109","15381.7310546875","15344.830078125","15409.41015625"
"52","1131","1131","1131","13950.76611328125","13698.8408203125","14202.69140625","1131","1131","1131","15445.4513671875","15244.9921875","15552.375"
"53","1152","1152","1152","13750.552734375","13578.380859375","13922.724609375","1152","1152","1152","15464.77734375","15312.0380859375","15588.890625"
"54","1173","1173","1173","13716.89697265625","13658.37109375","13775.4228515625","1173","1173","1173","15449.683984375","15328.482421875","15573.92578125"
"55","1195","1195","1195","13983.59423828125","13893.0849609375","14074.103515625","1195","1195","1195","15512.4318359375","15349.5009765625","15812.439453125"
"56","1216","1216","1216","13731.32080078125","13636.3349609375","13826.306640625","1216","1216","1216","15418.2048828125","15332.8466796875","15483.6572265625"
"57","1237","1237","1237","13849.48193359375","13744.7822265625","13954.181640625","1237","1237","1237","15437.1095703125","15358.82421875","15479.0771484375"
"58","1259","1259","1259","13926.4150390625","13910.20703125","13942.623046875","1259","1259","1259","15437.855078125","15356.6552734375","15588.916015625"
"59","1280","1280","1280","13878.18798828125","13875.40234375","13880.9736328125","1280","1280","1280","15370.53046875","15277.08203125","15442.296875"
"60","1301","1301","1301","13797.92919921875","13783.08203125","13812.7763671875","1301","1301","1301","15525.3841796875","15417.533203125","15696.3544921875"
"61","1323","1323","1323","13816.6796875","13799.53125","13833.828125","1323","1323","1323","15508.8736328125","15401.5537109375","15650.8037109375"
"62","1344","1344","1344","13759.7431640625","13622.802734375","13896.68359375","1344","1344","1344","15405.6669921875","15365.0087890625","15494.23046875"
"63","1366","1366","1366","13779.55615234375","13774.755859375","13784.3564453125","1366","1366","1366","15395.055859375","15260.8525390625","15539.8310546875"
"64","1387","1387","1387","13683.8583984375","13646.166015625","13721.55078125","1387","1387","1387","15376.9919921875","15325.6220703125","15417.7548828125"
"65","1408","1408","1408","13690.0478515625","13638.509765625","13741.5859375","1408","1408","1408","15368.375","15282.4091796875","15435.0244140625"
"66","1430","1430","1430","13801.74560546875","13711.4501953125","13892.041015625","1430","1430","1430","15428.375390625","15218.6298828125","15589.240234375"
"67","1451","1451","1451","13785.04638671875","13761.3125","13808.7802734375","1451","1451","1451","15351.5908203125","15296.3662109375","15400.4287109375"
"68","1472","1472","1472","13931.04052734375","13677.271484375","14184.8095703125","1472","1472","1472","15284.819140625","15211.3828125","15360.1826171875"
"69","1494","1494","1494","13858.3857421875","13825.455078125","13891.31640625","1494","1494","1494","15374.971484375","15336.55078125","15418.119140625"
"70","1515","1515","1515","13946.4638671875","13759.2998046875","14133.6279296875","1515","1515","1515","15301.3990234375","15260.37109375","15324.1357421875"
"71","1536","1536","1536","14008.5751953125","13986.9931640625","14030.1572265625","1536","1536","1536","15323.5005859375","15226.7578125","15386.935546875"
"72","1558","1558","1558","13846.521484375","13664.28515625","14028.7578125","1558","1558","1558","15344.330859375","15149.482421875","15401.09375"
"73","1579","1579","1579","13757.98095703125","13570.7958984375","13945.166015625","1579","1579","1579","15296.125390625","15220.853515625","15352.904296875"
"74","1601","1601","1601","13553.6044921875","13369.9052734375","13737.3037109375","1601","1601","1601","15407.644921875","15348.0048828125","15498.873046875"
"75","1622","1622","1622","13926.2939453125","13922.7392578125","13929.8486328125","1622","1622","1622","15292.9705078125","15141.443359375","15378.5791015625"
"76","1643","1643","1643","13815.70556640625","13572.4150390625","14058.99609375","1643","1643","1643","15355.490234375","15264.7001953125","15462.17578125"
"77","1665","1665","1665","13830.314453125","13735.1044921875","13925.5244140625","1665","1665","1665","15288.1125","15195.9365234375","15372.859375"
"78","1686","1686","1686","13708.9873046875","13585.375","13832.599609375","1686","1686","1686","15343.51328125","15256.06640625","15434.4208984375"
"79","1707","1707","1707","13701.1142578125","13667.0390625","13735.189453125","1707","1707","1707","15349.2888671875","15249.552734375","15485.234375"
"80","1729","1729","1729","13688.83935546875","13592.4580078125","13785.220703125","1729","1729","1729","15330.173046875","15251.576171875","15399.830078125"
"81","1750","1750","1750","13716.07470703125","13555.908203125","13876.2412109375","1750","1750","1750","15291.208984375","15184.783203125","15379.4521484375"
"82","1771","1771","1771","13828.60400390625","13755.654296875","13901.5537109375","1771","1771","1771","15378.32421875","15159.0673828125","15493.5361328125"
"83","1793","1793","1793","13749.2646484375","13746.734375","13751.794921875","1793","1793","1793","15319.09921875","15270.1484375","15383.7568359375"
"84","1814","1814","1814","13687.361328125","13657.7998046875","13716.9228515625","1814","1814","1814","15271.797265625","15205.1025390625","15312.6728515625"
"85","1835","1835","1835","13685.62646484375","13679.5556640625","13691.697265625","1835","1835","1835","15295.4193359375","15191.921875","15435.900390625"
"86","1857","1857","1857","13823.203125","13758.068359375","13888.337890625","1857","1857","1857","15296.6900390625","15217.599609375","15397.6435546875"
"87","1878","1878","1878","13777.65869140625","13624.064453125","13931.2529296875","1878","1878","1878","15296.176171875","15234.1708984375","15407.470703125"
"88","1900","1900","1900","13866.51318359375","13851.2626953125","13881.763671875","1900","1900","1900","15348.357421875","15236.869140625","15509.3076171875"
"89","1921","1921","1921","13843.0927734375","13747.3935546875","13938.7919921875","1921","1921","1921","15367.0494140625","15292.328125","15429.5087890625"
"90","1942","1942","1942","13887.166015625","13724.1123046875","14050.2197265625","1942","1942","1942","15310.472265625","15213.271484375","15401.798828125"
"91","1964","1964","1964","13766.3447265625","13622.0771484375","13910.6123046875","1964","1964","1964","15362.119140625","15290.30859375","15449.0146484375"
"92","1985","1985","1985","13744.607421875","13669.9228515625","13819.2919921875","1985","1985","1985","15354.793359375","15223.6162109375","15418.23046875"
"93","2006","2006","2006","13845.25244140625","13784.244140625","13906.2607421875","2006","2006","2006","15324.4560546875","15149.3798828125","15441.4794921875"
"94","2028","2028","2028","13822.92041015625","13689.875","13955.9658203125","2028","2028","2028","15321.783203125","15144.814453125","15416.8310546875"
"95","2049","2049","2049","13655.162109375","13524.3505859375","13785.9736328125","2049","2049","2049","15320.5314453125","15185.2373046875","15581.4814453125"
"96","2070","2070","2070","13590.96435546875","13522.0185546875","13659.91015625","2070","2070","2070","15305.3888671875","15037.6689453125","15503.6416015625"
"97","2092","2092","2092","13659.63720703125","13644.12890625","13675.1455078125","2092","2092","2092","15236.61953125","15069.4892578125","15367.349609375"
"98","2113","2113","2113","13837.33544921875","13709.306640625","13965.3642578125","2113","2113","2113","15233.6029296875","14993.9619140625","15323.3525390625"
"99","2135","2135","2135","13986.35986328125","13833.8583984375","14138.861328125","2135","2135","2135","15259.2171875","15109.67578125","15430.4697265625"